feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
ica4,5000,strongly_entangling,custom_h_ry_rz,0.9105,0.9414458619561662,0.958729318298374,0.9050314465408804,0.9809134287661896,0.9809134287661896,0.2833020637898686,1439,382,151,28,0.4049999999999999,20,0.926,0.95112285336856,0.9587555119538504
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.91,0.9379310344827586,0.9435830932164916,0.9490579204466156,0.92706203135651,0.92706203135651,0.1369606003752345,1360,460,73,107,0.3899999999999999,20,0.89,0.922425952045134,0.9160394663560044
autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.909,0.9365853658536586,0.958761291246702,0.9579472558802566,0.916155419222904,0.916155419222904,0.1106941838649155,1344,474,59,123,0.585,20,0.92,0.9449793672627236,0.9581525821236416
pca4,5000,strongly_entangling,ry_embedding,0.909,0.9392928619079386,0.9556701466023628,0.9196603527106466,0.959781867757328,0.959781867757328,0.2307692307692307,1408,410,123,59,0.4949999999999999,15,0.915,0.9438202247191012,0.9547751531595056
ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.9045,0.934296525627795,0.9401351304688128,0.9430555555555556,0.9256987048398092,0.9256987048398092,0.1538461538461538,1358,451,82,109,0.4849999999999999,20,0.909,0.9370242214532872,0.9340558272146174
xgb_pca4,5000,strongly_entangling,rx_embedding,0.8995,0.9283422459893048,0.9493036931313156,0.9730941704035876,0.8875255623721882,0.8875255623721882,0.0675422138836773,1302,497,36,165,0.4299999999999999,20,0.904,0.9317211948790896,0.9396916882546202
pca4,5000,EfficientSU2_like,custom_h_ry_rz,0.898,0.9287211740041929,0.9296735817759312,0.9526881720430108,0.9059304703476484,0.9059304703476484,0.123827392120075,1329,467,66,138,0.4849999999999999,20,0.906,0.9350828729281768,0.9278323650689028
pca4,5000,custom_ansatz_1,IQP_style_encoding,0.8875,0.928092042186002,0.9362395464445442,0.8736462093862816,0.9897750511247444,0.9897750511247444,0.3939962476547842,1452,323,210,15,0.4049999999999999,14,0.883,0.9256198347107438,0.9385164860431964
pca4,5000,custom_ansatz_1,amplitude_embedding,0.883,0.9217914438502672,0.938269189204398,0.9042622950819672,0.940013633265167,0.940013633265167,0.273921200750469,1379,387,146,88,0.4299999999999999,19,0.872,0.9140939597315436,0.9193044846738304
xgb_pca4,5000,Real_Amplitude_like,amplitude_embedding,0.883,0.920516304347826,0.9098836056789072,0.917400135409614,0.923653715064758,0.923653715064758,0.2288930581613508,1355,411,122,112,0.4199999999999999,20,0.906,0.9365721997300944,0.9237140477540864
