DRM+VQC,Perf. Rank (of 112),f1_pm,F1_CI_95%,F1_CI_width,auc_pm,AUC_CI_95%,AUC_CI_width,tpr_pm,fpr_pm,sigma_epi_mean,entropy_mean,ece,deploy_coverage
PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),62,0.8937 ± 0.0031,"[0.8875, 0.9001]",0.0126,0.8999 ± 0.0065,"[0.8865, 0.9117]",0.0251,0.9966 ± 0.0015,0.6431 ± 0.0207,0.0399260804773918,0.8645126177567963,0.1956697934182982,0.625
ICA4+VQC(Amplitude_Embedding+custom_ansatz_1),75,0.8826 ± 0.0044,"[0.8733, 0.8905]",0.0171,0.7354 ± 0.0162,"[0.7054, 0.7660]",0.0606,0.9443 ± 0.0058,0.5385 ± 0.0213,0.0053649008321117,0.9987697546928532,0.2960556355312467,0.0005
PCA4+VQC(RY_Angle_Encoding+custom_ansatz_1),31,0.8801 ± 0.0058,"[0.8696, 0.8924]",0.0228,0.9099 ± 0.0077,"[0.8958, 0.9243]",0.0285,0.8278 ± 0.0088,0.1468 ± 0.0148,0.0221441031558755,0.9979074944714909,0.2679571408932407,0.0025
ICA4+VQC(Custom_H_RY_RZ+strongly_entangling),74,0.8791 ± 0.0055,"[0.8688, 0.8889]",0.0201,0.8537 ± 0.0087,"[0.8362, 0.8685]",0.0323,0.8948 ± 0.0075,0.3882 ± 0.0215,0.0327692049556872,0.9875628740002556,0.2787932558660705,0.0
XGB_PCA4+VQC(RX_Angle_Encoding+custom_ansatz_1),80,0.8779 ± 0.0045,"[0.8699, 0.8866]",0.0167,0.9058 ± 0.0063,"[0.8926, 0.9180]",0.0254,0.9370 ± 0.0065,0.5439 ± 0.0207,0.0124348688538591,0.9968408023181928,0.2774170849238832,0.645
ICA4+VQC(Amplitude_Embedding+EfficientSU2_like),76,0.8759 ± 0.0046,"[0.8673, 0.8850]",0.0177,0.7128 ± 0.0163,"[0.6816, 0.7439]",0.0624,0.9328 ± 0.0061,0.5425 ± 0.0215,0.013758179564888,0.9978604466387304,0.3166716650570432,0.0
PCA4+VQC(RY_Angle_Encoding+strongly_entangling),72,0.8754 ± 0.0049,"[0.8663, 0.8844]",0.0181,0.8408 ± 0.0097,"[0.8225, 0.8584]",0.0359,0.9136 ± 0.0074,0.4780 ± 0.0201,0.0135897726976223,0.9991620015592512,0.3124953959052761,0.121
ICA4+VQC(RX_Angle_Encoding+custom_ansatz_1),77,0.8725 ± 0.0042,"[0.8646, 0.8809]",0.0163,0.7070 ± 0.0162,"[0.6747, 0.7389]",0.0642,0.9495 ± 0.0056,0.6248 ± 0.0216,0.0116791254569727,0.9965613687849012,0.2904593159675598,0.001
PCA4+VQC(Amplitude_Embedding+EfficientSU2_like),55,0.8718 ± 0.0059,"[0.8597, 0.8838]",0.0241,0.8027 ± 0.0157,"[0.7736, 0.8333]",0.0597,0.8710 ± 0.0084,0.3497 ± 0.0204,0.0151235564735113,0.9971834981560648,0.2855667232252658,0.133
PCA4+VQC(RY_Angle_Encoding+EfficientSU2_like),57,0.8694 ± 0.0029,"[0.8637, 0.8747]",0.011,0.9081 ± 0.0076,"[0.8926, 0.9241]",0.0316,0.9886 ± 0.0027,0.7859 ± 0.0176,0.0214646499451145,0.9984429995600564,0.3461907156695923,0.001
ICA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),78,0.8676 ± 0.0050,"[0.8586, 0.8768]",0.0182,0.6901 ± 0.0167,"[0.6565, 0.7250]",0.0686,0.9151 ± 0.0072,0.5351 ± 0.0200,0.0136764254935119,0.997966723906893,0.2893612749258677,0.0005
ICA4+VQC(Amplitude_Embedding+strongly_entangling),67,0.8653 ± 0.0031,"[0.8594, 0.8705]",0.0111,0.8511 ± 0.0092,"[0.8332, 0.8677]",0.0345,0.9856 ± 0.0033,0.8045 ± 0.0180,0.0123661987094969,0.9882700664379552,0.2073165961712599,0.1905
