feature_set,ansatz,encoding,auc,f1,threshold
xgb_pca4,strongly_entangling,rx_embedding,0.9491387127179436,0.9282911166607206,0.4399999999999999
pca4,custom_ansatz_1,iqp_embedding,0.9362395464445442,0.928092042186002,0.4049999999999999
pca4,efficient_su2_like,amplitude_embedding,0.9430261244566196,0.9228199131306382,0.4249999999999999
pca4,custom_ansatz_1,amplitude_embedding,0.938269189204398,0.9217914438502672,0.4299999999999999
pca4,real_amplitudes,amplitude_embedding,0.9383446453624518,0.9215882549215882,0.4349999999999999
pca4,strongly_entangling,amplitude_embedding,0.9367549503715896,0.917400135409614,0.4099999999999999
ica4,strongly_entangling,ry_embedding,0.9260133186513556,0.9178933595027804,0.3349999999999999
xgb_pca4,custom_ansatz_1,ry_embedding,0.9182502867973464,0.9075931232091692,0.4299999999999999
ica4,strongly_entangling,rx_embedding,0.919731273763894,0.9152652005174644,0.3349999999999999
ica4,efficient_su2_like,zz_feature_map,0.9181287895937004,0.9148040168448331,0.3849999999999999
autoencoder,strongly_entangling,custom_h_ry_rz,0.9015591288522606,0.9059528002817894,0.5049999999999999
autoencoder,strongly_entangling,ry_embedding,0.9229477523656784,0.9059593523940752,0.5149999999999999
pca4,strongly_entangling,ry_embedding,0.9175264192472036,0.900070372976777,0.4999999999999999
autoencoder,real_amplitudes,amplitude_embedding,0.9177515088034316,0.8989792326645547,0.5199999999999999
xgb_pca4,custom_ansatz_1,custom_h_ry_rz,0.8982774254358872,0.89568345323741,0.4849999999999999
autoencoder,custom_ansatz_1,amplitude_embedding,0.9028188630163791,0.8964059196617337,0.5349999999999999
xgb_pca4,efficient_su2_like,ry_embedding,0.8980574515513915,0.8942512420156139,0.4349999999999999
autoencoder,real_amplitudes,custom_h_ry_rz,0.9000340192170209,0.8868546320029294,0.5349999999999999
autoencoder,custom_ansatz_1,custom_h_ry_rz,0.8821796854117668,0.8934850051706308,0.4949999999999999
xgb_pca4,real_amplitudes,rx_embedding,0.8945007807793982,0.886765746638358,0.4149999999999999
xgb_pca4,efficient_su2_like,rx_embedding,0.8710543783115982,0.8580668343514193,0.4549999999999999
xgb_pca4,custom_ansatz_1,rx_embedding,0.8527428313452553,0.8591983556012333,0.3799999999999999
xgb_pca4,strongly_entangling,custom_h_ry_rz,0.7951020000997557,0.8627700127064803,0.4649999999999999
autoencoder,strongly_entangling,rx_embedding,0.6073325480777224,0.8645515558267236,0.4749999999999999
pca4,strongly_entangling,custom_h_ry_rz,0.7375737136323699,0.8126878130217028,0.4349999999999999
