feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.0893829387123997,12,19.3,0,0.0348733949750183,0.0066532771158767,0.9714160686670966,0.0225279490159418,0.0589333333333333,0.3530571581954757,0.764
xgb_pca4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.1206928819047584,12,20.0,0,0.0317138273251902,0.0076347199956396,0.995750236641892,0.0032968086206885,0.0265833333333333,0.3683507819434007,0.0005
pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.1400685150672853,24,19.3,3,0.0574856725117555,0.0109436752418705,0.8986759023633122,0.0876163192033255,0.0392666666666666,0.2778102336647609,0.833
pca4,5000,strongly_entangling,IQP_style_encoding,0.1004565127823098,24,18.2,2,0.0277663389276983,0.0041115757270288,0.9991271103351856,0.0010315314124439,0.0044333333333333,0.4467840975468357,0.2165
xgb_pca4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.1290890016889727,16,20.5,2,0.0343807484196084,0.0096879667995729,0.8559330797135747,0.0778204190332246,0.0220333333333333,0.2352058400742709,0.9045
autoencoder,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.1134618127936574,24,22.4,1,0.0275239046982996,0.0070283685605134,0.9858817031390495,0.0144491043258739,0.0378,0.3848468617449203,0.8265
xgb_pca4,5000,strongly_entangling,RY_Angle_Encoding,0.087469987300673,24,12.8,3,0.0414861667568718,0.0083207987059893,0.9354027787303888,0.0749208787074849,0.0551333333333333,0.3126831784248353,0.5465
autoencoder,5000,EfficientSU2_like,Custom_H_RY_RZ,0.0984369025438687,24,18.3,3,0.03596710402395,0.0048524373298375,0.9756722492554208,0.0279005595821443,0.0889333333333333,0.3534913384266197,0.9135
autoencoder,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.0989845614337353,12,19.3,0,0.0228180319950967,0.008417170064393,0.9896156170792992,0.0135550866777538,0.04915,0.4005344737882415,0.9575
ica4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0910240283012862,16,16.1,0,0.022299491295691,0.0040557868608128,0.9855656868420984,0.0170163927494678,0.0371833333333333,0.3773042698328694,0.6145
autoencoder,5000,EfficientSU2_like,RX_Angle_Encoding,0.0911045338383538,24,16.1,0,0.0375632229973743,0.0037624757944668,0.969542019147704,0.036024689798131,0.0538999999999999,0.3413293348126113,0.882
ica4,5000,Real_Amplitude_like,IQP_style_encoding,0.1210216668169427,12,18.7,3,0.0509272620178713,0.0098405751764346,0.8767405400264875,0.0803879654609521,0.0464833333333333,0.2590562635211895,0.845
autoencoder,5000,strongly_entangling,ZZ_Feature_Map_style,0.1141439426223746,24,19.7,3,0.0452045997002594,0.0094244709502494,0.8484808205637402,0.1034944314568261,0.0320666666666666,0.2282177564725279,0.884
pca4,5000,EfficientSU2_like,IQP_style_encoding,0.1131087685879914,24,22.1,2,0.0439814228706474,0.0064845928581534,0.91425286519366,0.0844727651357348,0.0511666666666666,0.2909783257951339,0.7625
pca4,5000,Real_Amplitude_like,IQP_style_encoding,0.083050002654002,12,19.0,0,0.0380796145278527,0.0094546132032394,0.9594375519570786,0.0440173909280095,0.0592166666666666,0.3350765386492014,0.723
pca4,5000,strongly_entangling,RX_Angle_Encoding,0.0578039653289326,24,12.7,2,0.0075577688000963,0.0016251030284748,0.992497330518616,0.00746868582856,0.0233833333333333,0.1906275089705983,0.7385
xgb_pca4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.1195559183880573,24,22.0,1,0.0380268840287277,0.0100811518598179,0.8891190179462116,0.1041491818143545,0.0230833333333333,0.2645293207932264,0.832
ica4,5000,custom_ansatz_1,ZZ_Feature_Map_style,0.1226178134059923,16,20.9,1,0.035965546672412,0.0093006859494731,0.9210702145558336,0.0725655419844684,0.0324833333333333,0.2845602697065721,0.7585
ica4,5000,strongly_entangling,ZZ_Feature_Map_style,0.1128111599985979,24,17.8,2,0.0339921221402026,0.0082780365397065,0.9921879841725232,0.0086228827918965,0.1200499999999999,0.3706173754319549,0.012
autoencoder,5000,Real_Amplitude_like,IQP_style_encoding,0.1352177863814492,12,20.7,3,0.0440054693025228,0.0055773929461606,0.8813079372721107,0.0684105049977865,0.0233166666666666,0.2370671135878811,0.9245
ica4,5000,custom_ansatz_1,IQP_style_encoding,0.1253072599684902,16,20.9,0,0.044985054026174,0.0111863619253105,0.9851290198119048,0.0144005540378059,0.0792333333333333,0.3541542691210906,0.3455
xgb_pca4,5000,Real_Amplitude_like,RY_Angle_Encoding,0.1052969046215947,12,13.0,0,0.0657022957208652,0.014566207080371,0.9146435772590016,0.0858555760980431,0.0841,0.27125239928253,0.901
ica4,5000,Real_Amplitude_like,ZZ_Feature_Map_style,0.1050387217068066,12,18.9,0,0.0396524972749977,0.0117565158634277,0.8924975886338719,0.0945843422010158,0.0244666666666666,0.2526268567863851,0.7865
ica4,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.08712616508766,12,17.5,3,0.0202777282552283,0.0033009023195213,0.9707019699312208,0.0334661228653034,0.0184,0.3495493227146566,0.2555
ica4,5000,strongly_entangling,Custom_H_RY_RZ,0.0905746986515516,24,14.5,0,0.0240762546128478,0.0052988600314964,0.9699914926859842,0.0312184330537308,0.0545499999999999,0.3566295970700681,0.535
xgb_pca4,5000,strongly_entangling,ZZ_Feature_Map_style,0.1042418671570703,24,17.2,3,0.0324299274307188,0.0097518213270431,0.8421240140180214,0.1068644240147445,0.0222999999999999,0.21450556505993,0.401
autoencoder,5000,custom_ansatz_1,IQP_style_encoding,0.1376332354859073,16,21.0,1,0.0605916098634553,0.0139509270055505,0.8822712936465644,0.0687974589313389,0.0596333333333333,0.2217345854258786,0.854
pca4,5000,EfficientSU2_like,Custom_H_RY_RZ,0.0821981581452739,24,19.3,1,0.0379626865882396,0.007143053945334,0.9517472552641144,0.0602239661093582,0.1058833333333333,0.3087024151670435,0.5475
xgb_pca4,5000,strongly_entangling,RX_Angle_Encoding,0.0647359466973495,24,12.8,2,0.015343067351683,0.0034040607713854,0.934969295118062,0.0861121335817002,0.0186833333333333,0.2827834638945758,0.205
pca4,5000,custom_ansatz_1,IQP_style_encoding,0.0699386838497826,16,18.6,0,0.0175419819986023,0.0037329971464464,0.9877275631939842,0.0209207858631237,0.0223833333333333,0.3326842662120858,0.142
pca4,5000,EfficientSU2_like,Amplitude_Embedding,0.0874758868295565,24,15.1,1,0.0362846679270726,0.0020949563442295,0.9413745539509965,0.0186360677886198,0.0634833333333333,0.3737941333127518,0.121
pca4,5000,custom_ansatz_1,Amplitude_Embedding,0.0570859761336511,16,13.3,3,0.0209708840935797,0.003671624789672,0.9852339023664596,0.015991800009843,0.1164333333333333,0.3358236664752165,0.185
pca4,5000,Real_Amplitude_like,Amplitude_Embedding,0.0612601507998729,12,12.7,3,0.0368985947026568,0.0058458796116565,0.984430551991292,0.0196760317026693,0.1963666666666666,0.3330023651411136,0.211
pca4,5000,strongly_entangling,Amplitude_Embedding,0.0830981265469573,24,12.1,1,0.0700093417039243,0.0161954441786563,0.8875548186875414,0.1388607524546999,0.1258666666666666,0.2116979039230073,0.3505
ica4,5000,strongly_entangling,RY_Angle_Encoding,0.0779956533303822,24,12.5,2,0.032629178787218,0.0093308369070748,0.9162379832976952,0.0912972288518347,0.0381666666666666,0.2747612917995701,0.1145
xgb_pca4,5000,custom_ansatz_1,RY_Angle_Encoding,0.070113122415535,16,14.3,2,0.0468042084200873,0.0089427324386678,0.9475755678105778,0.0683481566528412,0.1145666666666666,0.2711293734930456,0.101
ica4,5000,strongly_entangling,RX_Angle_Encoding,0.0615884748493605,24,12.5,1,0.0180324716221369,0.0076734889937628,0.928287305388384,0.073540032026853,0.022,0.2800273519221693,0.12
ica4,5000,EfficientSU2_like,ZZ_Feature_Map_style,0.0765810217812471,24,22.2,2,0.0266632919916956,0.0056735319385684,0.9288992821924864,0.0785104808929622,0.0281833333333333,0.2647237458907067,0.4525
autoencoder,5000,strongly_entangling,Custom_H_RY_RZ,0.0625869148181385,24,15.8,1,0.0251143758112484,0.0069084507703932,0.9945778714035882,0.010065291213163,0.1564166666666666,0.3299308691923817,0.003
autoencoder,5000,strongly_entangling,RY_Angle_Encoding,0.0775616535645298,24,13.4,3,0.0169006923602042,0.0026276378422276,0.9953383597594168,0.0062075886534931,0.1493166666666666,0.3187234635978936,0.685
pca4,5000,strongly_entangling,RY_Angle_Encoding,0.0646400380892425,24,12.8,3,0.0148751390739555,0.0028986994997841,0.9938059101883984,0.0071286452841002,0.0465666666666666,0.2042650380300978,0.7265
autoencoder,5000,Real_Amplitude_like,Amplitude_Embedding,0.0792617866488776,12,12.8,2,0.0302915624617455,0.002197550702145,0.994321426676347,0.0053367338579803,0.2249666666666666,0.3198738232021531,0.7325
xgb_pca4,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0493661571429387,16,17.5,0,0.0126347623748739,0.0017924034102449,0.9942033638905838,0.0143250225517606,0.07015,0.3488542567918697,0.0
autoencoder,5000,custom_ansatz_1,Amplitude_Embedding,0.0881622723670351,16,13.1,0,0.0231916641365148,0.0036634859619471,0.9909183969150552,0.0066335902655274,0.1657333333333333,0.3115374811053276,0.6905
xgb_pca4,5000,EfficientSU2_like,RY_Angle_Encoding,0.089371970169466,24,14.9,1,0.0568744251487933,0.0056738523715234,0.9673086688651252,0.0464456745615219,0.1618333333333333,0.277596394957602,0.146
autoencoder,5000,Real_Amplitude_like,Custom_H_RY_RZ,0.059813518961428,12,17.4,2,0.0158505084507172,0.0029378120878368,0.9868775997149212,0.0124386259278856,0.0645999999999999,0.2897838200350602,0.5405
autoencoder,5000,custom_ansatz_1,Custom_H_RY_RZ,0.0552157570523046,16,18.0,0,0.0127370367547206,0.002087791963188,0.9934324462869184,0.0067276203739702,0.0440166666666666,0.3171183046189447,0.0
xgb_pca4,5000,Real_Amplitude_like,RX_Angle_Encoding,0.0542076253887468,12,14.2,3,0.0103388412084704,0.0024770383601171,0.9587328177034468,0.0462399451491436,0.0386833333333333,0.2639405661995212,0.077
xgb_pca4,5000,EfficientSU2_like,RX_Angle_Encoding,0.0622784646163527,24,14.6,0,0.0230829618985059,0.0023134885934512,0.9804626461332496,0.0250026839888591,0.1154833333333333,0.2494327202220758,0.135
xgb_pca4,5000,custom_ansatz_1,RX_Angle_Encoding,0.0575873204396647,16,14.3,1,0.0111464386209454,0.0035480667577307,0.9527039680507828,0.0456615475209783,0.0340166666666666,0.2297003855387369,0.0
xgb_pca4,5000,strongly_entangling,Custom_H_RY_RZ,0.0564531201292494,24,15.9,1,0.0116565099949582,0.0017477054702671,0.9965208122672378,0.0093478089029361,0.1601999999999999,0.2747467476576566,0.177
autoencoder,5000,strongly_entangling,RX_Angle_Encoding,0.0700226977177548,24,13.3,2,0.0135158583126435,0.0028127767803547,0.998699853683084,0.0037560693922629,0.0763666666666666,0.275367365817229,0.0
pca4,5000,strongly_entangling,Custom_H_RY_RZ,0.0834508862609288,24,16.3,1,0.0392968394446837,0.004078940138959,0.9894550746743378,0.0158753088326352,0.0728833333333333,0.2799065622205536,0.0
