feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,custom_ansatz_1,IQP_style_encoding,0.8865,0.9320562705776714,0.7020328124999999,0.8943136128661688,0.973125,0.973125,0.46,1557,216,184,43,0.2549999999999999,8,0.895,0.9367850692354004,0.73355625
ica4,5000,EfficientSU2_like,rx_embedding,0.886,0.9288833437305052,0.7033171875,0.927148194271482,0.930625,0.930625,0.2925,1489,283,117,111,0.615,5,0.889,0.9305816135084428,0.72961875
pca4,5000,custom_ansatz_1,rx_embedding,0.8855,0.926342875522676,0.891496875,0.9542743538767396,0.9,0.9,0.1725,1440,331,69,160,0.5099999999999999,19,0.889,0.9282482223658696,0.8927843749999999
autoencoder,5000,custom_ansatz_1,rx_embedding,0.8855,0.932627243306855,0.6913078125,0.8810450250138966,0.990625,0.990625,0.535,1585,186,214,15,0.4749999999999999,2,0.897,0.939304655274013,0.71704375
ica4,5000,EfficientSU2_like,ry_embedding,0.885,0.9282595134123518,0.7178703125,0.9265255292652552,0.93,0.93,0.295,1488,282,118,112,0.605,3,0.889,0.9305816135084428,0.74494375
ica4,5000,strongly_entangling,ry_embedding,0.885,0.9282595134123518,0.6738515624999999,0.9265255292652552,0.93,0.93,0.295,1488,282,118,112,0.59,3,0.889,0.9305816135084428,0.7002562499999999
xgb_pca4,5000,Real_Amplitude_like,amplitude_embedding,0.8845,0.9280149579308196,0.770275,0.925419515226849,0.930625,0.930625,0.3,1489,280,120,111,0.5399999999999999,7,0.888,0.93,0.79528125
xgb_pca4,5000,custom_ansatz_1,amplitude_embedding,0.884,0.9277258566978192,0.7628546875000001,0.9248447204968944,0.930625,0.930625,0.3025,1489,279,121,111,0.5599999999999999,19,0.888,0.93,0.78790625
xgb_pca4,5000,EfficientSU2_like,amplitude_embedding,0.884,0.9276807980049876,0.72976875,0.9253731343283582,0.93,0.93,0.3,1488,280,120,112,0.4299999999999999,14,0.891,0.9317470256731372,0.7568
ica4,5000,strongly_entangling,rx_embedding,0.884,0.9276807980049876,0.6717453125,0.9253731343283582,0.93,0.93,0.3,1488,280,120,112,0.585,1,0.889,0.9305816135084428,0.6973624999999999
xgb_pca4,5000,strongly_entangling,amplitude_embedding,0.8835,0.9274369355341016,0.7740539062500001,0.9242706393544382,0.930625,0.930625,0.305,1489,278,122,111,0.4699999999999999,1,0.887,0.929419113054341,0.7889
autoencoder,5000,Real_Amplitude_like,rx_embedding,0.8825,0.929535232383808,0.6886953124999999,0.8933717579250721,0.96875,0.96875,0.4625,1550,215,185,50,0.4649999999999999,1,0.894,0.9362214199759326,0.7139437500000001
