feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
pca4,5000,efficient_su2_like,iqp_embedding,0.05097776749619173,24,26.2,1,0.025169427747984596,0.002092897074141239,0.9987660108092882,0.0005332750408905825,0.08139999999999999,0.28266313220262523,0.002
pca4,5000,real_amplitudes,custom_h_ry_rz,0.057431383848609185,12,21.9,3,0.02437901669214993,0.003044059976712261,0.9765772112541217,0.021784909380296317,0.12891666666666665,0.32929579969272005,0.002
autoencoder,5000,strongly_entangling,zz_feature_map,0.05876190075682904,24,21.5,1,0.03244646263557181,0.004659889319126057,0.9419138707894469,0.03017802085800792,0.04309999999999999,0.2863068930144111,0.6915
ica4,5000,custom_ansatz_1,amplitude_embedding,0.04356490693181286,16,14.9,2,0.014259980782462886,0.0006472225629315277,0.9884866016069388,0.01597826440793436,0.19234999999999997,0.3746922569258139,0.7955
autoencoder,5000,real_amplitudes,custom_h_ry_rz,0.0326325796034743,12,18.4,1,0.005704791912123136,0.0004167107658638849,0.9957436163621946,0.012340554473831096,0.016516666666666666,0.3861553324658423,0.0185
xgb_pca4,5000,real_amplitudes,zz_feature_map,0.07259179980785309,12,23.6,1,0.020740000527476966,0.005265245545865962,0.9293749842567008,0.05217530886049202,0.004383333333333333,0.2746544181786478,0.884
autoencoder,5000,strongly_entangling,iqp_embedding,0.06484484409142344,24,18.5,0,0.028072227921806088,0.004607168924728791,0.9204000930400489,0.0581624606253891,0.039066666666666666,0.26157933594584465,0.595
xgb_pca4,5000,custom_ansatz_1,custom_h_ry_rz,0.03775067232439055,16,21.8,0,0.0060368566832013125,0.002131273396069851,0.9982604216183272,0.0016494070821429243,0.07411666666666665,0.3882176375533144,0.602
autoencoder,5000,custom_ansatz_1,custom_h_ry_rz,0.03133924700966952,16,18.8,0,0.002433999497421549,0.0004389106550110633,0.9984052034889255,0.011561591773653653,0.054,0.3892937949536989,0.023
xgb_pca4,5000,real_amplitudes,custom_h_ry_rz,0.04816256052000323,12,18.7,0,0.015585810391915943,0.0037580755727763286,0.9989376110301152,0.001079789217226952,0.03533333333333333,0.44183044671465954,0.6145
